beheerobjectid,complexid,beheercode,naam,omschrijving,objecttype,aard,netwerk,classificatie,bpscoderingid,route,traject,relatie_tot_weg,vaarweg,waterweghmtot,rdx,rdy,stichtingsjaar,status,sloopjaar,eigenaar,beheerder,ondplicht,beheergebied,inspecteur,provincie1,provincie2,gemeente1,gemeente2,isinactive,waterweg,id_miok,instantieid,userid_insert,date_insert,userid_modified,date_modified,timestamp
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9
4979,2382,31H-005-02,Galecopperbrug noord,Noordelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,121","452,549",1976,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13925,1054,NULL,NULL,402,2014-07-25 10:53:13.000,0x00000000007975FA
